,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
0,PatchTST,-1.9411522357476685,-1.5054343104388321,0.017314672470092773,0.009903192520141602,142.99418783187866,11
1,WeightedEnsemble,-2.1545871903184866,-1.471882187196245,8.054099321365356,1.6642239093780518,0.8517231941223145,12
2,AutoETS,-2.258281078167493,-1.480541806843724,7.17182993888855,1.4123969078063965,7.498882055282593,4
3,SeasonalNaive,-2.3476649928038094,-1.8398838317722652,1.0627310276031494,0.018220186233520508,1.4858689308166504,1
4,TemporalFusionTransformer,-2.422125221496781,-1.7694260232050398,0.028708219528198242,0.018821239471435547,296.89040660858154,10
5,DynamicOptimizedTheta,-2.4257503042215824,-1.511443997985838,4.390256881713867,0.1220550537109375,4.593565940856934,5
6,RecursiveTabular,-2.5071229595728752,-1.9097042834290416,0.8629019260406494,0.24192380905151367,12.691589117050171,7
7,DeepAR,-2.5072961316376094,-2.24827964283777,2.0143160820007324,0.33147406578063965,642.0820851325989,9
8,AutoARIMA,-2.5226606039551536,-1.749367883455837,4.467609167098999,0.8094701766967773,4.764827728271484,6
9,CrostonSBA,-5.081137692361059,-3.661443677294701,3.006178140640259,0.01741480827331543,3.602616310119629,2
10,DirectTabular,-6.875820574205049,-4.059546356451042,0.5520188808441162,0.028126001358032227,4.511817932128906,8
11,NPTS,-10.568471591438287,-8.100637093858277,0.23673486709594727,0.2182750701904297,0.2284700870513916,3
